46,花和叶无星芒状或盾状毛；子房 2－5 室，稀 1 室,47
47,花萼花冠状，常有彩色,瑞香科Thymelaeaceae
47,花萼草质，绿黄色,鼠李科 Rhamnaceae
48,乔木或灌木，通常有香气，花药瓣裂；果实为核果状浆果；种子无胚乳，胚直生,樟科 Lauraceae
48,草本或半灌木，无香气；花药不为瓣裂，果实不为核果浆果，干燥，包于各类形式的花被内；种子有胚乳，胚生于胚乳外围，胚环形或马蹄铁形,藜科Chenopodiaceae
49,肉质寄生草本；花有花被时，其雄蕊常与花被裂片同数；子房 1-3 室,蛇菰科Balanophoraceae
49,非肉质寄生草本,50
50,花小形，单性；雄蕊1-3 枚，连成块状；子房1 室，含 1 颗胚珠；果实为小核果；花成穗状、圆锥状或头状花序,金粟兰科Chloranthaceae
50,花、雄蕊、子房与上述科不同,51
51,草本,52
51,灌木或乔木,53
52,半寄生草本；花小形；叶互生，狭细，具1-3 脉,檀香科 Santalaceae
52,非寄生草本；花较大而漂亮；叶对生而宽，具明显羽状脉,紫茉莉科 Nyctaginaceae
53,花柱 1-2 个,54
53,花柱 3 个最多数；子房1-4 室，各有 1 颗胚珠；花雌雄异株，成圆锥花序,山茱萸科 Cornaceae
54,果实为蒴果，聚合成头状或穗状果序；花两性或单性,金缕梅科Hamamelidaceae
54,果实为核果或坚果；花多单性，稀两性，单生或雄花成伞形花序，有时为半寄生植物,檀香科 Santalaceae
55,草本植物,56
55,木本植物,63
56,子房上位,57
56,子房下位；花萼有筒，萼裂片 3；叶基生,马兜铃科 Aristolochiaceae
57,心皮多数，分离或仅基部连合,毛茛科Ranunculaceae
57,心皮 1 个，或数个连合,58
58,子房 1 室或只有 1 心皮,59
58,子房 2-6 室,62
59,叶对生,石竹科 Caryophyllaceae
59,叶互生,60
60,叶为复叶或割裂,61
60,叶为单叶，互生；果实稀为浆果,毛茛科Ranunculaceae
61,花大，单生；萼片花瓣状；心皮常退化为1 个,毛茛科 Ranunculaceae
61,花小,总状花序；心皮 2-3 个,虎耳草科 Saxifragaceae
62,叶多为肉质；果实为蒴果或小坚果,番杏科Aizoaceae
62,叶非肉质；果实为蒴果,千屈菜科Lythraceae
63,子房下位；花萼有弯曲的细长管；多为攀援灌木，有时为草本状,马兜铃科Aristolochiaceae
63,子房上位或下位；花萼无弯曲之细长筒,64
64,子房上位，花簇生或成总状花序或聚伞花序；果实为 2-5 瓣裂的蒴果,大风子科Flacourtiaceae
64,子房半下位，花成头状或穗状花序，果实为木质化、具 2 室之蒴果。植株常被星状毛,金缕梅科 Hamamelidaceae
65,花冠有分离的花瓣,66
65,花冠具连合花瓣,155
66,心皮分离或仅基部连合,67
66,心皮连合或只有 1 个,85
67,草本植物,68
67,木本植物,74
68,水生植物,69
68,陆生植物,70
69,心皮多数，分离而嵌入陀螺状花托的孔隙中，稀嵌入花托内；花两性，大而漂亮；花瓣多数；叶盾形或心形,睡莲科 Nymphaeaceae
69,心皮 1 个，不嵌入花托孔隙中。花单性同株，小形，无梗；花被片6-8；子房 1 室，含1 颗胚珠；叶细裂呈线形，轮生,金鱼藻科Ceratophyllaceae
70,雄蕊离心发育，花大；心皮 3 个，围以肉质的花盘,毛茛科 Ranunculaceae
70,雄蕊向心发育，多数或只有 5-10 枚,71
71,雄蕊多数,72
71,雄蕊 5-10 枚,73
72,雄蕊着生花托上,毛茛科 Ranunculaceae
72,雄蕊着生花萼筒上,蔷薇科 Rosaceae
73,肉质草本或半灌木，叶为互生或簇生单叶；果实为蓇葖果,景天科Crassulaceae
73,肉质草本；叶为对生单叶或为羽状复叶；果实为干裂果,蒺藜科Zygophyllaceae
74,攀援灌木,75
74,乔木或直立灌木,78
75,花瓣小于萼片；雄蕊 6 枚；心皮 3、六、9 个，各含多数胚珠，或心皮多数各含 1 枚胚珠,木通科 Lardizabalaceae
75,花瓣大于萼片；雄蕊多数；心皮多数或少数，含2 颗最多数胚珠,76
76,雄蕊着生花萼筒上，果实为聚合小核果，或为多数瘦果，包于瓶状花托内,蔷薇科Rosaceae
76,雄蕊着生花托上,77
77,雄蕊全数或一部连合成块状；心皮成熟时浆果状，成头状或穗状排列,木兰科Magnoliaceae
77,雄蕊分离；雌雄花异株；果实为核果状；种子马蹄铁形,防己科Menispermaceae
78,叶为单叶,79
78,叶为复叶,83
79,叶对生,80
79,叶互生,81
